,Close
2022-09-22,18547.400390625
2022-09-23,18521.55837249778
2022-09-24,18509.65146623983
2022-09-25,18505.807331148226
2022-09-26,18505.747097806383
2022-09-27,18499.797440558323
2022-09-28,18482.45956510111
2022-09-29,18446.964188172038
2022-09-30,18421.12217004482
2022-10-01,18409.21526378687
2022-10-02,18405.371128695264
2022-10-03,18405.31089535342
2022-10-04,18399.36123810536
2022-10-05,18382.02336264815
2022-10-06,18346.527985719076
2022-10-07,18320.685967591857
2022-10-08,18308.77906133391
2022-10-09,18304.934926242306
2022-10-10,18304.87469290046
2022-10-11,18298.9250356524
2022-10-12,18281.587160195188
2022-10-13,18246.091783266114
2022-10-14,18220.249765138895
2022-10-15,18208.342858880947
2022-10-16,18204.498723789344
2022-10-17,18204.438490447497
2022-10-18,18198.48883319944
2022-10-19,18181.150957742226
2022-10-20,18145.655580813152
2022-10-21,18119.813562685933
